PLD ,LCD,LCD/PLD,ASA,Porosity,PV,C%,H%,N%,O%,Metal%,Halogen%,TDU,KN2,NN2 1 Bar (mol/kg)
4.46842,5.7583,1.288665792,2636.1,0.70828,0.738672688,44.44444444,4.444444444,0,28.88888889,8.888888889,13.33333333,609,1.7508E-06,0.086143253
9.00897,15.55627,1.726753447,3888.41,0.78398,1.401388196,51.61290323,25.80645161,6.451612903,12.90322581,3.225806452,0,289,3.35603E-06,0.164342106
7.82539,11.50806,1.470605299,3213.19,0.73848,1.063650819,50.70422535,22.53521127,0,21.12676056,5.633802817,0,1009,3.33214E-06,0.160234483
5.40077,12.29205,2.275981018,2186.29,0.69278,0.785522743,54.54545455,22.72727273,4.545454545,10.22727273,3.409090909,4.545454545,913,3.64784E-06,0.163932393
13.49014,22.82402,1.691903865,4825.11,0.87138,2.533508557,46.32352941,24.26470588,8.823529412,16.17647059,4.411764706,0,373,2.65354E-06,0.132440954
10.92309,21.62414,1.979672419,4183.97,0.85002,1.951346053,46.39175258,21.64948454,12.37113402,13.40206186,6.18556701,0,277,3.1329E-06,0.151823488
6.60024,18.23438,2.762684387,3362.83,0.76974,1.223263849,47.82608696,26.08695652,0,21.73913043,4.347826087,0,1537,3.52216E-06,0.165103259
6.71346,18.07263,2.691999357,3398.29,0.77286,1.223576721,47.82608696,26.08695652,0,21.73913043,4.347826087,0,1537,0.000003732,0.176079935
6.7332,17.16775,2.549716331,3442.18,0.7602,1.214972838,47.14285714,25.71428571,0,22.85714286,4.285714286,0,1537,3.27287E-06,0.154337042
10.27637,26.33515,2.562689938,5140.56,0.86804,2.573724316,48.57142857,28.57142857,5.714285714,14.28571429,2.857142857,0,289,3.50652E-06,0.172295831
13.33904,27.33782,2.049459331,6255.09,0.89344,3.741733919,57.93103448,31.03448276,0.689655172,8.275862069,2.068965517,0,493,3.61394E-06,0.181013904
12.17426,24.55082,2.016617026,4551.51,0.87,2.304165773,44.03669725,22.01834862,13.76146789,14.67889908,5.504587156,0,289,2.93975E-06,0.144638755
9.07611,10.5421,1.161521841,3380.19,0.73488,1.162643159,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345,3.55852E-06,0.166062372
8.86044,10.34629,1.167694832,3351.76,0.72428,1.130606358,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345,3.34257E-06,0.157145023
8.80719,10.21446,1.159786493,3266.85,0.72402,1.104803933,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345,3.68606E-06,0.171172335
8.70819,10.15021,1.165593539,3336.18,0.72628,1.106682026,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345,3.7395E-06,0.17443769
8.90065,10.34557,1.162338706,3384.01,0.73364,1.150659837,46.70658683,39.52095808,11.9760479,0,1.796407186,0,1441,3.4006E-06,0.159389583
