PLD,LCD,LCD/PLD,ASA,Porosity,PV,C%,H%,N%,O%,Metal%,Halogen%,TDU,KCH4,NCH4 0.1 Bar (mol/kg)
4.46842,5.7583,1.29,2636.1,0.70828,0.738672688,44.44444444,4.444444444,0,28.88888889,8.888888889,13.33333333,609.00,3.87428E-06,0.019354344
9.00897,15.55627,1.73,3888.41,0.78398,1.401388196,51.61290323,25.80645161,6.451612903,12.90322581,3.225806452,0,289.00,8.0266E-06,0.039817231
7.82539,11.50806,1.47,3213.19,0.73848,1.063650819,50.70422535,22.53521127,0,21.12676056,5.633802817,0,1009.00,8.31219E-06,0.041432536
5.40077,12.29205,2.28,2186.29,0.69278,0.785522743,54.54545455,22.72727273,4.545454545,10.22727273,3.409090909,4.545454545,913.00,1.19787E-05,0.059261554
13.49014,22.82402,1.69,4825.11,0.87138,2.533508557,46.32352941,24.26470588,8.823529412,16.17647059,4.411764706,0,373.00,4.44224E-06,0.021925675
10.92309,21.62414,1.98,4183.97,0.85002,1.951346053,46.39175258,21.64948454,12.37113402,13.40206186,6.18556701,0,277.00,7.00023E-06,0.034763109
6.60024,18.23438,2.76,3362.83,0.76974,1.223263849,47.82608696,26.08695652,0,21.73913043,4.347826087,0,1537.00,8.95155E-06,0.04472112
6.71346,18.07263,2.69,3398.29,0.77286,1.223576721,47.82608696,26.08695652,0,21.73913043,4.347826087,0,1537.00,1.01816E-05,0.050967086
6.7332,17.16775,2.55,3442.18,0.7602,1.214972838,47.14285714,25.71428571,0,22.85714286,4.285714286,0,1537.00,8.09858E-06,0.040263056
10.27637,26.33515,2.56,5140.56,0.86804,2.573724316,48.57142857,28.57142857,5.714285714,14.28571429,2.857142857,0,289.00,7.14183E-06,0.035452251
13.33904,27.33782,2.05,6255.09,0.89344,3.741733919,57.93103448,31.03448276,0.689655172,8.275862069,2.068965517,0,493.00,5.81168E-06,0.02859266
12.17426,24.55082,2.02,4551.51,0.87,2.304165773,44.03669725,22.01834862,13.76146789,14.67889908,5.504587156,0,289.00,5.78312E-06,0.028643235
9.07611,10.5421,1.16,3380.19,0.73488,1.162643159,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345.00,1.16823E-05,0.059136326
8.86044,10.34629,1.17,3351.76,0.72428,1.130606358,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345.00,1.05564E-05,0.052275516
8.80719,10.21446,1.16,3266.85,0.72402,1.104803933,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345.00,1.29458E-05,0.06394176
8.70819,10.15021,1.17,3336.18,0.72628,1.106682026,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345.00,1.25361E-05,0.062214159
8.90065,10.34557,1.16,3384.01,0.73364,1.150659837,46.70658683,39.52095808,11.9760479,0,1.796407186,0,1441.00,1.09634E-05,0.055012133
4.10445,5.76724,1.41,861.688,0.50398,0.398898237,46.42857143,28.57142857,3.571428571,17.85714286,3.571428571,0,649.00,4.05485E-05,0.193792777
5.00855,5.72682,1.14,759.791,0.49644,0.387655979,46.42857143,28.57142857,3.571428571,17.85714286,3.571428571,0,865.00,0.000036816,0.174569976
3.91364,4.43355,1.13,434.935,0.48232,0.389712596,45.71428571,34.28571429,5.714285714,11.42857143,2.857142857,0,721.00,0.000234048,0.949420851
3.85295,5.48974,1.42,196.403,0.44944,0.261885478,29.19708029,23.35766423,5.839416058,27.73722628,13.13868613,0.729927007,385.00,8.97414E-06,0.043345993
